Date,Account Code,Account Name,Debit,Credit,Narrative
2025-01-05,1000,Bank,10000.00,0,Initial capital paid in
2025-01-05,3000,Share Capital,0,10000.00,Initial capital paid in
2025-03-15,1100,Trade Receivables,2500.00,0,Invoice INV-1042
2025-03-15,4000,Sales,0,2500.00,Invoice INV-1042
2025-06-01,5000,Cost of Sales,900.00,0,Supplier bill SB-88
2025-06-01,1000,Bank,0,900.00,Supplier bill SB-88
2025-08-20,6000,Rent,1200.00,0,Q3 office rent
2025-08-20,1000,Bank,0,1200.00,Q3 office rent
2026-01-10,1000,Bank,50.00,0,2026 receipt (exclude)
2026-01-10,4000,Sales,0,50.00,2026 receipt (exclude)
